endpoint,qualified,bp,file,route_args
index,index,,/mnt/data/project/smart_branch_admin_system_cleaned/app.py,'/'
login,login,auth_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/auth_routes.py,"'/login', methods=['GET', 'POST']"
auth_bp.login,auth_bp.login,auth_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/auth_routes.py,"'/login', methods=['GET', 'POST']"
logout,logout,auth_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/auth_routes.py,'/logout'
auth_bp.logout,auth_bp.logout,auth_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/auth_routes.py,'/logout'
clients,clients,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,"'/clients', methods=['GET', 'POST']"
clients.clients,clients.clients,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,"'/clients', methods=['GET', 'POST']"
delete_client,delete_client,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/delete/<int:id>'
clients.delete_client,clients.delete_client,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/delete/<int:id>'
upload_excel,upload_excel,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,"'/clients/upload', methods=['GET', 'POST']"
clients.upload_excel,clients.upload_excel,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,"'/clients/upload', methods=['GET', 'POST']"
show_uploaded,show_uploaded,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/uploaded'
clients.show_uploaded,clients.show_uploaded,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/uploaded'
export_uploaded_file,export_uploaded_file,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/export_uploaded'
clients.export_uploaded_file,clients.export_uploaded_file,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/export_uploaded'
export_uploaded_file_nonempty,export_uploaded_file_nonempty,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/export_uploaded_nonempty'
clients.export_uploaded_file_nonempty,clients.export_uploaded_file_nonempty,clients,/mnt/data/project/smart_branch_admin_system_cleaned/routes/clients.py,'/clients/export_uploaded_nonempty'
clients_bp.clients,clients_bp.clients,clients_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/client_routes.py,'/clients'
add_client,add_client,clients_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/client_routes.py,"'/clients/add', methods=['POST']"
clients_bp.add_client,clients_bp.add_client,clients_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/client_routes.py,"'/clients/add', methods=['POST']"
clients_bp.delete_client,clients_bp.delete_client,clients_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/client_routes.py,"'/clients/delete/<int:client_id>', methods=['POST']"
machine_reports,machine_reports,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,'/machine_reports'
machine_reports_bp.machine_reports,machine_reports_bp.machine_reports,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,'/machine_reports'
upload_report,upload_report,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,"'/machine_reports/upload', methods=['POST']"
machine_reports_bp.upload_report,machine_reports_bp.upload_report,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,"'/machine_reports/upload', methods=['POST']"
export_reports,export_reports,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,'/machine_reports/export'
machine_reports_bp.export_reports,machine_reports_bp.export_reports,machine_reports_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/machine_reports.py,'/machine_reports/export'
dashboard,dashboard,main_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/main_routes.py,'/dashboard'
main_bp.dashboard,main_bp.dashboard,main_bp,/mnt/data/project/smart_branch_admin_system_cleaned/routes/main_routes.py,'/dashboard'
